date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:22	1897/1897	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jul%202022%2011:13:31%20GMT	https://demos.creative-tim.com/robots.txt		(from )
15:12:22	66009/66009	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2014:31:36%20GMT	https://demos.creative-tim.com/material-dashboard-pro/	C:/My%20Web%20Sites/adminka/demos.creative-tim.com/material-dashboard-pro/index.html	(from )
15:12:23	389/389	---M--	200	added ('OK')	image/png	etag:%2262a89bc8-329%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/adminka/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro/)
15:12:23	389/389	---M--	200	added ('OK')	image/png	etag:%2262a89bc8-329%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/adminka/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro/)
15:12:24	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Tue,%2005%20Jul%202022%2011:13:33%20GMT	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_bs5_thumbnail.jpg	C:/My%20Web%20Sites/adminka/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_bs5_thumbnail.2.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/)
15:12:24	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jul%202022%2011:13:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/pages/dashboards/default.html	C:/My%20Web%20Sites/adminka/demos.creative-tim.com/material-dashboard-pro/pages/dashboards/default.html	(from https://demos.creative-tim.com/material-dashboard-pro/)
15:12:24	6612/6612	---MCZ	200	added ('OK')	text/css	etag:W/%2262a89bc8-2337%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/nucleo-icons.css	C:/My%20Web%20Sites/adminka/demos.creative-tim.com/material-dashboard-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/material-dashboard-pro/)
15:12:24	1113/1113	---MCZ	200	added ('OK')	text/css	etag:W/%2262a89bc8-8cd%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/nucleo-svg.css	C:/My%20Web%20Sites/adminka/demos.creative-tim.com/material-dashboard-pro/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/material-dashboard-pro/)
15:12:26	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2005%20Jul%202022%2011:13:35%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/My%20Web%20Sites/adminka/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/material-dashboard-pro/)
15:12:26	524964/524964	---M-Z	200	added ('OK')	text/css	etag:W/%2262a89bc8-802a4%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min.css?v=3.0.5	C:/My%20Web%20Sites/adminka/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min1bb8.css	(from https://demos.creative-tim.com/material-dashboard-pro/)
